2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
0,017346;0,016216;0,016930;0,015711;0,015256;0,014762;0,014718;0,014602;0,013900;0,013020;0,011884;0,013046;0,012141;0,012184;0,011587;0,011711;0,009781;0,011281;0,010939;0,010679;0,010872
0,000339;0,000295;0,000285;0,000272;0,000275;0,000252;0,000262;0,000248;0,000272;0,000264;0,000275;0,000283;0,000298;0,000271;0,000239;0,000223;0,000200;0,000183;0,000155;0,000147;0,000139
0,000419;0,000427;0,000438;0,000430;0,000433;0,000439;0,000420;0,000411;0,000377;0,000362;0,000351;0,000357;0,000365;0,000379;0,000360;0,000347;0,000311;0,000274;0,000264;0,000270;0,000238
0,001221;0,001287;0,001365;0,001391;0,001413;0,001421;0,001454;0,001459;0,001468;0,001391;0,001372;0,001341;0,001355;0,001328;0,001310;0,001337;0,001306;0,001268;0,001182;0,001102;0,001030
0,001861;0,001870;0,001972;0,002014;0,002059;0,002103;0,002120;0,002059;0,002034;0,001998;0,001981;0,001935;0,001821;0,001802;0,001760;0,001812;0,001843;0,001812;0,001767;0,001658;0,001574
0,002087;0,002071;0,002013;0,002005;0,001958;0,001980;0,001944;0,001994;0,002070;0,002000;0,001952;0,001792;0,001758;0,001699;0,001744;0,001737;0,001731;0,001620;0,001555;0,001433;0,001512
0,002354;0,002338;0,002340;0,002389;0,002320;0,002259;0,002227;0,002219;0,002237;0,002205;0,002212;0,002120;0,002017;0,001953;0,001876;0,001846;0,001774;0,001703;0,001690;0,001668;0,001665
0,003180;0,003129;0,003156;0,003118;0,003080;0,002942;0,002934;0,002895;0,002966;0,002935;0,002852;0,002731;0,002542;0,002420;0,002313;0,002225;0,002191;0,002092;0,001995;0,001793;0,001993
0,004155;0,004098;0,004099;0,004091;0,003942;0,003883;0,003845;0,003951;0,003954;0,003929;0,003875;0,003708;0,003467;0,003279;0,003090;0,003068;0,002954;0,002890;0,002844;0,002893;0,002754
0,006043;0,005898;0,005775;0,005705;0,005742;0,005648;0,005612;0,005421;0,005530;0,005430;0,005496;0,005167;0,005083;0,004880;0,004811;0,004784;0,004565;0,004437;0,004186;0,004066;0,004536
0,009317;0,009013;0,008926;0,008778;0,008672;0,008365;0,008232;0,007960;0,008096;0,007872;0,007998;0,007614;0,007332;0,006983;0,006895;0,006904;0,006681;0,006623;0,006461;0,006373;0,007206
0,013857;0,013374;0,013019;0,013045;0,012461;0,011935;0,011709;0,011804;0,011776;0,011514;0,011482;0,011369;0,011109;0,010682;0,010391;0,010267;0,010174;0,009800;0,009571;0,009341;0,010423
0,022315;0,021566;0,020891;0,021036;0,020268;0,019343;0,018448;0,017876;0,017473;0,016872;0,016740;0,016593;0,016312;0,016126;0,015676;0,015629;0,015100;0,014930;0,014532;0,014232;0,015861
0,032888;0,032458;0,032320;0,032067;0,030967;0,029578;0,027717;0,027063;0,026539;0,026294;0,025836;0,025249;0,024438;0,023509;0,022751;0,022480;0,022172;0,022267;0,022116;0,021895;0,024428
0,047533;0,046454;0,045581;0,044882;0,043805;0,041595;0,040772;0,040264;0,040111;0,039544;0,038860;0,038058;0,036975;0,035812;0,035185;0,033635;0,033086;0,032479;0,031524;0,031029;0,034259
0,071848;0,070255;0,069317;0,068812;0,068000;0,065244;0,064401;0,063719;0,063181;0,062164;0,061084;0,060367;0,059003;0,057691;0,057042;0,054601;0,053703;0,052876;0,051204;0,050452;0,055043
0,110042;0,108381;0,106870;0,105487;0,103944;0,099743;0,099230;0,098981;0,099252;0,098775;0,097606;0,096673;0,094584;0,092675;0,091912;0,088415;0,087350;0,086140;0,083688;0,082637;0,088455
0,157976;0,157395;0,157320;0,157225;0,157595;0,153350;0,153074;0,152792;0,153123;0,153137;0,152358;0,153676;0,153581;0,153519;0,154333;0,147683;0,144743;0,141523;0,137655;0,136420;0,146390
0,212698;0,214860;0,216939;0,219768;0,222380;0,218490;0,221095;0,223910;0,226877;0,229658;0,230887;0,231315;0,230877;0,231180;0,236641;0,233577;0,239637;0,240080;0,236708;0,234570;0,243982
