"2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
0.01402,0.014669,0.013858,0.013648,0.013327,0.012019,0.011618,0.011271,0.011832,0.010275,0.010287,0.01212,0.010445,0.009409,0.010213,0.009177,0.008403,0.01022,0.0094,0.008697,0.008519
0.000229,0.000218,0.000219,0.000244,0.000251,0.000232,0.000214,0.000228,0.00021,0.000199,0.000178,0.000208,0.000233,0.00021,0.000176,0.000161,0.000165,0.000144,0.000168,0.000238,0.000084
0.000234,0.000245,0.00026,0.000267,0.000251,0.000232,0.000232,0.000255,0.00025,0.000238,0.000203,0.000212,0.000217,0.000207,0.000179,0.000188,0.000216,0.000235,0.000221,0.000206,0.000191
0.000457,0.00045,0.000417,0.000462,0.000476,0.000493,0.000467,0.000408,0.000385,0.000373,0.000389,0.000414,0.000407,0.000417,0.000399,0.000407,0.000426,0.000412,0.000406,0.000388,0.00031
0.000518,0.000507,0.000532,0.000499,0.00048,0.000513,0.000514,0.00052,0.000513,0.000538,0.000561,0.000529,0.000493,0.000444,0.000437,0.000444,0.000458,0.000453,0.000441,0.000415,0.000515
0.000689,0.000686,0.000661,0.000637,0.000686,0.000649,0.000667,0.00066,0.000692,0.000703,0.000655,0.000634,0.000556,0.000561,0.000557,0.000596,0.000572,0.000541,0.000513,0.000497,0.000557
0.000983,0.000931,0.000913,0.000862,0.000854,0.000873,0.000891,0.00089,0.000851,0.000848,0.000846,0.000861,0.000834,0.000883,0.00082,0.000819,0.00075,0.000733,0.000688,0.000658,0.000733
0.001306,0.001365,0.001275,0.001311,0.001216,0.001223,0.001236,0.001241,0.001278,0.001261,0.001266,0.001239,0.001208,0.001161,0.001107,0.0011,0.001094,0.001064,0.001022,0.001007,0.00111
0.002044,0.001979,0.001917,0.001908,0.001841,0.001846,0.001875,0.001833,0.001858,0.001815,0.001844,0.001839,0.00183,0.001762,0.001634,0.001648,0.001617,0.001589,0.001491,0.001456,0.00152
0.003047,0.002998,0.002912,0.002894,0.002812,0.002727,0.002659,0.002705,0.002814,0.002794,0.002679,0.002614,0.002635,0.002595,0.002567,0.002478,0.002373,0.002309,0.002262,0.002274,0.0024
0.004636,0.004429,0.004404,0.00435,0.004291,0.00404,0.003883,0.003805,0.003903,0.003955,0.003981,0.00391,0.003782,0.003706,0.003656,0.003696,0.003655,0.003602,0.003561,0.003579,0.003598
0.007432,0.007042,0.006938,0.006602,0.006569,0.006357,0.006274,0.005967,0.005872,0.005931,0.005849,0.005739,0.005566,0.005603,0.005435,0.005399,0.005324,0.005267,0.005155,0.005031,0.005628
0.01159,0.011418,0.010654,0.010443,0.009725,0.009656,0.009395,0.009318,0.009164,0.009009,0.008864,0.008725,0.008388,0.008236,0.008111,0.008194,0.008066,0.007929,0.007877,0.007933,0.008393
0.017909,0.017436,0.016858,0.01679,0.016161,0.01578,0.015426,0.0152,0.014816,0.014434,0.014619,0.014674,0.014205,0.013553,0.012765,0.012533,0.012071,0.01197,0.012072,0.012542,0.012463
0.026838,0.026094,0.024855,0.024451,0.023825,0.023271,0.022859,0.022461,0.022429,0.021891,0.021682,0.021501,0.020987,0.020342,0.019954,0.01981,0.019349,0.019401,0.018903,0.01854,0.018919
0.046406,0.045373,0.043712,0.043441,0.042802,0.041926,0.041147,0.040182,0.039894,0.038734,0.038359,0.03825,0.037459,0.036398,0.035917,0.035549,0.034844,0.035168,0.034187,0.033406,0.033993
0.082202,0.07996,0.076626,0.075382,0.073995,0.072669,0.071953,0.071159,0.071418,0.070228,0.06966,0.068752,0.067452,0.065581,0.064573,0.064268,0.063166,0.063197,0.061652,0.060349,0.061352
0.133214,0.132032,0.129123,0.129116,0.128231,0.127354,0.126163,0.123809,0.123112,0.122014,0.121812,0.120294,0.120702,0.119326,0.117586,0.116897,0.11482,0.113032,0.110846,0.109564,0.11136
0.197013,0.19649,0.195921,0.197925,0.198327,0.19977,0.201735,0.201421,0.201021,0.200682,0.199198,0.192171,0.190489,0.18769,0.184013,0.185834,0.185543,0.18168,0.178801,0.175109,0.175043
