"IDADE","INTERVALO DE IDADE","SEXO","ANO","CÓD.","SIGLA","LOCAL","nMx","nAx","nqx","lx","ndx","nLx","Sx","Tx","ex"
0,"1","Homens",2070,42,"SC","Santa Catarina",0.00536,0.05784,0.00533,1e+05,533,99497,"0.99434999999999996",8216662,82.17
1,"4","Homens",2070,42,"SC","Santa Catarina",2e-04,1.63692,0.00081,99467,80,397676,"0.99922",8117165,81.61
5,"5","Homens",2070,42,"SC","Santa Catarina",0.00011,2.33281,0.00055,99386,55,496784,"0.99953000000000003",7719489,77.67
10,"5","Homens",2070,42,"SC","Santa Catarina",9e-05,2.72038,0.00047,99331,47,496549,"0.99905999999999995",7222705,72.71
15,"5","Homens",2070,42,"SC","Santa Catarina",0.00032,2.84248,0.00159,99284,158,496080,"0.99792000000000003",6726156,67.75
20,"5","Homens",2070,42,"SC","Santa Catarina",0.00049,2.60374,0.00245,99126,243,495049,"0.99741999999999997",6230075,62.85
25,"5","Homens",2070,42,"SC","Santa Catarina",0.00053,2.51659,0.00263,98883,260,493771,"0.99736999999999998",5735026,58
30,"5","Homens",2070,42,"SC","Santa Catarina",0.00053,2.54757,0.00267,98623,263,492471,"0.99707000000000001",5241255,53.14
35,"5","Homens",2070,42,"SC","Santa Catarina",0.00067,2.6273,0.00332,98360,327,491026,"0.99595999999999996",4748784,48.28
40,"5","Homens",2070,42,"SC","Santa Catarina",0.00099,2.67445,0.00494,98034,484,489041,"0.99380000000000002",4257758,43.43
45,"5","Homens",2070,42,"SC","Santa Catarina",0.00155,2.69531,0.00774,97549,755,486007,"0.98997999999999997",3768717,38.63
50,"5","Homens",2070,42,"SC","Santa Catarina",0.00257,2.70455,0.01277,96795,1236,481136,"0.98338999999999999",3282710,33.91
55,"5","Homens",2070,42,"SC","Santa Catarina",0.00425,2.68816,0.02106,95559,2012,473142,"0.97367000000000004",2801574,29.32
60,"5","Homens",2070,42,"SC","Santa Catarina",0.00661,2.68552,0.03257,93547,3046,460683,"0.95774000000000004",2328431,24.89
65,"5","Homens",2070,42,"SC","Santa Catarina",0.01107,2.68858,0.05396,90500,4884,441213,"0.93081999999999998",1867748,20.64
70,"5","Homens",2070,42,"SC","Santa Catarina",0.01826,2.68132,0.08761,85616,7501,410691,"0.88554999999999995",1426536,16.66
75,"5","Homens",2070,42,"SC","Santa Catarina",0.03173,2.66936,0.14771,78116,11538,363687,"0.80659000000000003",1015845,13
80,"5","Homens",2070,42,"SC","Santa Catarina",0.05655,2.61642,0.24916,66577,16588,293348,"0.68766000000000005",652158,9.8
85,"5","Homens",2070,42,"SC","Santa Catarina",0.09765,2.55211,0.39407,49989,19699,201724,"0.43780000000000002",358810,7.18
90,"+","Homens",2070,42,"SC","Santa Catarina",0.19282,5.18612,1,30290,30290,157087,"-",157087,5.19
